  -0.02 A-V:-1340884514.485 fd=   0 aq=  119KB vq=    1KB sq=    0B f=0/0   
   0.01 A-V:-1340884514.485 fd=   0 aq= 1692KB vq=    1KB sq=    0B f=0/0   
   4.69 A-V: -0.235 fd=   0 aq= 2226KB vq=    0KB sq=    0B f=0/0   
   4.72 A-V: -0.234 fd=   0 aq= 2225KB vq=    0KB sq=    0B f=0/0   
   4.75 A-V: -0.232 fd=   0 aq= 2225KB vq=    0KB sq=    0B f=0/0   
   4.78 A-V: -0.231 fd=   0 aq= 2224KB vq=    0KB sq=    0B f=0/0   
   4.80 A-V: -0.239 fd=   0 aq= 2224KB vq=    0KB sq=    0B f=0/0   
   4.83 A-V: -0.239 fd=   0 aq= 2223KB vq=    0KB sq=    0B f=0/0   
   4.87 A-V: -0.236 fd=   0 aq= 2223KB vq=    0KB sq=    0B f=0/0   
   4.90 A-V: -0.235 fd=   0 aq= 2222KB vq=    0KB sq=    0B f=0/0   
   4.93 A-V: -0.233 fd=   0 aq= 2221KB vq=    0KB sq=    0B f=0/0   
   4.96 A-V: -0.233 fd=   0 aq= 2221KB vq=    0KB sq=    0B f=0/0   
   4.98 A-V: -0.242 fd=   0 aq= 2221KB vq=    0KB sq=    0B f=0/0   
   5.01 A-V: -0.240 fd=   0 aq= 2220KB vq=    0KB sq=    0B f=0/0   
   5.04 A-V: -0.239 fd=   0 aq= 2219KB vq=    0KB sq=    0B f=0/0   
   5.08 A-V: -0.237 fd=   0 aq= 2219KB vq=    0KB sq=    0B f=0/0   
   5.12 A-V: -0.226 fd=   0 aq= 2218KB vq=    0KB sq=    0B f=0/0   
   5.14 A-V: -0.234 fd=   0 aq= 2218KB vq=    0KB sq=    0B f=0/0   
   5.17 A-V: -0.233 fd=   0 aq= 2217KB vq=    0KB sq=    0B f=0/0   
   5.20 A-V: -0.231 fd=   0 aq= 2217KB vq=    0KB sq=    0B f=0/0   
   5.23 A-V: -0.229 fd=   0 aq= 2216KB vq=    0KB sq=    0B f=0/0   
   5.26 A-V: -0.228 fd=   0 aq= 2215KB vq=    0KB sq=    0B f=0/0   
   5.29 A-V: -0.237 fd=   0 aq= 2215KB vq=    0KB sq=    0B f=0/0   
